region,event,date,links
WORLD,"Officials, in Wuhan, China, confirmed that health authorities were treating dozens of cases they later identified as a new virus that had infected dozens of people. There was no evidence, at the time, that the virus was readily spread by humans. Chinese health officials continued to monitor it to prevent the outbreak from developing into something more severe.",12/31/2019,
WORLD,"The number of cases of the new type of viral pneumonia rises to 44 in an outbreak that awakens fearful memories of the 2002-03 SARS epidemic. Most of the cases are traced to a live-seafood market in the suburbs of sprawling Wuhan, where offerings are reported to include wild animals.",1/3/2020,
WORLD,Chinese state media reports that a preliminary investigation of the Wuhan outbreak has identified a new type of coronavirus. Local authorities report 59 people with the illness.,1/9/2020,
WORLD,Health authorities in Wuhan report the country's first death from the new coronavirus.,1/11/2020,
WORLD,"The head of a Chinese government team says human-to-human transmission has been confirmed in an outbreak of the coronavirus, a development that raises the possibility that it could spread more quickly and widely.",1/20/2020,
WORLD,Chinese state media reports that the city of Wuhan has shut down outbound flights and trains as the new virus keeps spreading.,1/22/2020,
ILLINOIS,"A Chicago woman in her 60s, who in late December had traveled to Wuhan, China, to care for her elderly father, is the second confirmed case of coronavirus in the United States, and the first in Illinois. She returned to Chicago on Jan. 13 and, nationally, her diagnosis was second only to the Washington state man in his 30s who had traveled to the same region of China.",1/24/2020,https://www.chicagotribune.com/news/breaking/ct-coronavirus-china-epidemic-illinois-case-20200124-yx2xd3yeovar3o25ei6bfvvbze-story.html
WORLD,"China is reporting more that 1,280 cases and a total of 41 deaths.",1/24/2020,https://www.chicagotribune.com/news/breaking/ct-coronavirus-china-epidemic-illinois-case-20200124-yx2xd3yeovar3o25ei6bfvvbze-story.html
U.S.,"U.S. health officials expand screenings of international travelers and take other precautions. But they insist the risk to Americans is low. ""At this point, Americans should not worry for their own safety,"" Health and Human Services Secretary Alex Azar tells reporters.",1/28/2020,https://www.chicagotribune.com/nation-world/ct-nw-airport-screenings-coronavirus-20200128-l6z35qupbfh25mobtolk6itggu-story.html
ILLINOIS,"A Chicago woman transmits the virus to her husband, marking the first person-to-person transmission reported in the United States. The director of the CDC, Robert Redfield, called that ""concerning,"" but said, ""the immediate risk to the American public is low.""",1/30/2020,https://www.chicagotribune.com/business/ct-biz-illinois-spread-person-to-person-coronavirus-20200130-yqbxfhqotvagdmvc5ibgvvwugy-story.html
WORLD,"After the number of cases increases more than tenfold in a week, the World Health Organization, for the sixth time in history, declares a ""public health emergency of international concern,"" its category used only for the most extraordinary events threatening to become global issues.",1/30/2020,
ILLINOIS,United Airlines joined American Airlines and Delta Air Lines in suspending all flights to and from mainland China amid the spread of coronavirus.,1/31/2020,https://www.chicagotribune.com/business/ct-biz-airlines-cancel-china-flights-american-delta-20200131-um3omkenozcrrlvpn6nh6m5hue-story.html
U.S.,"United Airlines, American Airlines and Delta Air Lines suspend all flights to and from China as the virus spreads.The U.S. declares a public health emergency and takes drastic steps to restrict entry. President Donald Trump signs an order that will temporarily bar foreign nationals, other than immediate family of U.S. citizens and permanent residents, who have traveled in China within the last 14 days.",1/31/2020,https://www.chicagotribune.com/business/ct-biz-airlines-cancel-china-flights-american-delta-20200131-um3omkenozcrrlvpn6nh6m5hue-story.html
ILLINOIS,"The University of Chicago, Northwestern and the University of Illinois halt travel plans, programs in China.",2/1/2020,https://www.chicagotribune.com/news/ct-coronavirus-illinois-universities-china-20200201-qhmug5jfinb3lnr7t4rddkczfu-story.html
ILLINOIS,"Speaking at a Chinatown Lunar New Year parade, Mayor Lori Lightfoot said the federal government needs to provide U.S. cities with clear guidance for dealing with the coronavirus and asked for assurances it will pay for costs related to dealing with what has been declared a public health emergency.In a Joliet Walmart, a man donning a yellow face mask and a sign on his back reading, ""Caution, I have the Coronavirus,"" with another man began spraying Lysol disinfectant around the store. A 19-year-old and 17-year-old are later charged with disorderly conduct.",2/2/2020,https://www.chicagotribune.com/politics/ct-lori-lightfoot-coronavirus-chinatown-lunar-new-year-parade-20200202-3l5sy2unfve4lfcl6vtfxysad4-story.html
ILLINOIS,Ken Griffin and his partners at hedge fund Citadel and Citadel Securities announce a contribution of $7.5 million to relief efforts in China.,2/4/2020,https://www.chicagotribune.com/business/ct-biz-ken-griffin-china-coronavirus-aid-20200203-cvvuxsmyhjbhroinfvwheqcu3e-story.html
WORLD,"German health officials raise questions about a report that suggests the new virus could be spread by people who are not yet showing symptoms. The report, published in the New England Journal of Medicine, stirs concern that controlling the virus will be more daunting if it is spreading before people know they are sick.A Japanese official says at least 10 people on cruise ship have new virus and all 3,700 people on it will be quarantined.",2/4/2020,https://www.chicagotribune.com/lifestyles/ct-life-coronavirus-containment-tt-20200201-w444lemwgre63m5efkt2ziyt6m-story.html
WORLD,"A Chinese doctor who got in trouble with authorities in the communist country for sounding an early warning about the coronavirus outbreak dies after coming down with the illness. Dr. Li Wenliang, a 34-year-old ophthalmologist, was reprimanded by local police for ""spreading rumors"" about the illness in late December.",2/6/2020,https://www.chicagotribune.com/nation-world/ct-nw-chinese-coronavirus-deaths-20200206-luw7t3ikr5cvhbhaud3slsxg2u-story.html
ILLINOIS,Amita Health St. Alexius Medical Center Hoffman Estates announced that the husband and wife hospitalized for coronavirus in the first person-to-person transmission reported in the United States had been discharged.,2/7/2020,https://www.chicagotribune.com/news/breaking/ct-coronavirus-illinois-couple-released-hospital-20200207-d7daxrlihbbkldv3buxij4tepa-story.html
ILLINOIS,"An international housewares show scheduled for mid-March at McCormick Place is scrapping part of the event because of travel limitations tied to the coronavirus. The Inspired Home Show will not include an International Sourcing Expo, which was to include dishes, flatware and other household products made by 500 Chinese companies.",2/10/2020,https://www.chicagotribune.com/business/ct-biz-inspired-home-goods-show-coronavirus-impact-20200210-zrjx5npagbhkndre6qfqzr2fna-story.html
WORLD,"The disease caused by the virus gets an official name: COVID-19. The World Health Organization says it wanted a name that did not refer to a geographical location, an animal, an individual or group of people but was ""pronounceable and related to the disease.""",2/11/2020,http://digitaledition.chicagotribune.com/tribune/article_popover.aspx?guid=aa20d516-db2c-4ce1-b24f-d020ce670c32
ILLINOIS,United Airlines says it will suspend flights to China and Hong Kong through late April.,2/12/2020,
WORLD,"China reports 143 virus deaths and a dip in new cases. The head of the World Health Organization praises the country's efforts to contain the new disease, saying Chinese officials have ""bought the world time"" and that other nations must make the most of it.",2/15/2020,
WORLD,Iran's state-run IRNA news agency says the virus has killed two Iranian citizens.,2/19/2020,
WORLD,Italy sees confirmed virus cases more than quadruple due to an emerging cluster in the country's north.,2/21/2020,https://www.chicagotribune.com/nation-world/ct-nw-coronavirus-spread-europe-20200222-ssxei53tkjfetmve45yvt4in6q-story.html
U.S.,"Wall Street endures its worst session in two years, with the Dow Jones Industrial Average slumping more than 1,000 points on fears that the viral outbreak will weaken the world economy.",2/24/2020,https://www.chicagotribune.com/business/ct-biz-global-markets-coronavirus-20200224-bhzzhbhm75c2jaon36fovn3eiy-story.html
ILLINOIS,"Lightfoot says Chicago is prepared to take ""extraordinary measures"" if necessary after a warning by national experts that spread of the disease to American communities is all but inevitable.",2/26/2020,https://www.chicagotribune.com/news/breaking/ct-local-coronavirus-warning-reaction-20200226-7evarli3gjahbbp4jglfiyrgd4-story.html
U.S.,"Trump declares that a widespread U.S. outbreak of the virus is not inevitable, even as top health authorities at his side warn Americans that more infections are coming.",2/27/2020,https://www.chicagotribune.com/nation-world/ct-nw-trump-coronavirus-press-conference-20200226-nmosoj2l6rhfxjvntxnevwyzia-story.html
ILLINOIS,United Airlines announces it won't restart flights between the U.S. and China until May.,2/28/2020,
U.S.,The virus claims its first victim in the United States.,2/29/2020,
WORLD,"As the virus spreads rapidly in central China, the country's authoritarian government orders the unprecedented lockdown of 60 million people in the hardest-hit province. The shutdown of public transport in some cities, the closing of entertainment venues nationwide and a heavy dose of fear empty the streets of the world's most populous nation. The number of cases shoots up in Iran, Italy and South Korea.",2/29/2020,https://www.chicagotribune.com/nation-world/ct-nw-china-coronavirus-outbreak-20200123-6axsp4xky5hyhhxma7drhensre-story.html
U.S.,"Seeking to reassure the American public, Trump says there is ""no reason to panic"" about the virus. The White House also announces that the U.S. is banning travel to Iran and urging Americans not to travel to regions of Italy and South Korea where the virus has been prevalent.",3/1/2020,
U.S.,"In a surprise move, the Federal Reserve cuts its benchmark interest rate by a sizable half-percentage point in an effort to support the economy in the face of the spreading coronavirus.",3/3/2020,https://www.chicagotribune.com/business/ct-biz-federal-reserve-coronavirus-rate-cut-20200303-3yrxhkdocfdzhm2ycbe52gn3se-story.html
ILLINOIS,"As concerns over the spread of coronavirus mount locally and nationally, large group events such as The Inspired Home Show, the massive housewares convention that would have run March 14-17, and other McCormick Place events, are canceled. The Tribune launches its running list of closings and cancellations.",3/4/2020,https://www.chicagotribune.com/coronavirus/ct-cb-coronavirus-chicago-illinois-cancellations-closings-20200304-xsy3xn6grndu3hq7eyihpkznwi-story.html
WORLD,The Italian government orders all sporting events to take place without fans until April 3 due to the outbreak.,3/4/2020,https://www.chicagotribune.com/coronavirus/ct-nw-coronavirus-italy-sports-20200309-pe3bigxs5zbkxmyxsz54pvzjae-story.html
U.S.,"The Senate passes an $8.3 billion measure to provide federal public health agencies money for vaccines, tests and potential treatments. The package also helps state and local governments respond to the threat. The House already approved the measure. Sen. Rand Paul, a Kentucky Republican, cast the sole no vote.",3/5/2020,https://www.chicagotribune.com/coronavirus/ct-nw-senate-coronavirus-funding-20200305-ewlb272qbjhjljbfkrrw2szriu-story.html
U.S.,"Trump's visit to the Centers for Disease Control and Prevention turns into a scattershot defense of his administration's handling of the outbreak, veering into political score-settling and exaggerations. He calls Washington's governor a ""snake."" He also says he would prefer that people exposed to the virus on a cruise ship be left aboard so they will not be added to the count for the nation's total number of infections. And he falsely claimed that a test for the virus was available immediately to all who want it.",3/6/2020,
ILLINOIS,"Students and staff at Portage Park's Vaughn Occupational High School are asked to stay home and self-quarantine until March 18 because an employee, a Chicago woman in her 50s who had been on the Grand Princess cruise ship, tested positive with coronavirus and last was on campus March 4. The classroom assistant was the sixth positive coronavirus case in Illinois.",3/7/2020,https://www.chicagotribune.com/coronavirus/ct-vaughn-self-quarantine-20200308-nlqheqd7a5fyrmeo3crnmu6q6q-story.html
WORLD,"Italy's prime minister announces a sweeping coronavirus quarantine, restricting the movements of about a quarter of the country's population in a bid to limit contagions at the epicenter of Europe's outbreak. Shortly after midnight, Prime Minister Giuseppe Conte signs a decree affecting about 16 million people in the country's prosperous north, including the Lombardy region, and at least 14 provinces in neighboring regions.",3/8/2020,https://www.chicagotribune.com/coronavirus/ct-nw-coronavirus-outbreak-worldwide-italy-20200308-oyigf3wxknghzpt2q7hqfddkpu-story.html
ILLINOIS,"Gov. J.B. Pritzker issues a disaster proclamation over the coronavirus outbreak after total cases in the state rise to 11, making Illinois the 14th state to declare an emergency in response to the virus. The proclamation will allow Illinois to tap additional state and federal resources to combat the spread of the new virus and better coordinate its response. Pritzker also announces he will begin holding daily televised news briefings on the virus and the state's response.",3/9/2020,https://www.chicagotribune.com/coronavirus/ct-coronavirus-illinois-20200309-5c3tfldhpnahvonvtttfjwgrdq-story.html
ILLINOIS,"Lombard District 44, Resurrection College Prep High School on Chicago's Northwest Side and Bernard Zell Anshe Emet Day School in Lakeview join Loyola Academy in Wilmette in temporarily closing as a result of individuals connected to each school community being treated as presumptive positive for the coronavirus. Meanwhile, Chicago Public Schools officials announced that aside from Vaughn Occupational High School, there are no plans at this time to close any other schools.",3/10/2020,https://www.chicagotribune.com/coronavirus/ct-coronavirus-chicago-schools-closed-20200310-dzmsovatpfabxkvflog6jq55xm-story.html
ILLINOIS,"In-person classes at University of Illinois, Northwestern University and Illinois State University are suspended. Chicago's downtown St. Patrick's Day Parade, river dyeing, Northwest Side Irish Parade, and South Side Irish Parade all are canceled due to coronavirus concerns. There are 25 cases of coronavirus in Illinois and no deaths.",3/11/2020,https://www.chicagotribune.com/coronavirus/ct-illinois-coronavirus-colleges-online-classes-20200311-4cnop5jqpjewdac7ppods5awmu-story.html
U.S.,"Trump says the U.S. will suspend all travel from Europe, excluding the United Kingdom, for 30 days. The NBA becomes the first major sports league to suspend season and the NCAA tournament first announces it will conduct games without fans. The Dow continues its fall. ",3/11/2020,
ILLINOIS,"Pritzker orders the shutdown of public events with more than 1,000 people. Lincoln Park Zoo announces it will close. Thirty-two Illinois residents are positive for COVID-19.",3/12/2020,https://www.chicagotribune.com/coronavirus/ct-coronavirus-illinois-state-briefing-thursday-20200312-pq3wcmlc6zetxmptk7l4iwsqey-story.html
U.S.,"MLB, NHL seasons suspended, NCAA tourney canceled, Big Ten Tournament canceled.",3/12/2020,
ILLINOIS,"Pritzker orders all public and private schools closed by March 17, meaning caregivers for 2 million students must make alternate arrangements. The Museum of Science and Industry, the Field Museum of Natural History, the Art Institute of Chicago and the John G. Shedd Aquarium will close. Broadway in Chicago delays shows and the state gaming board shuts down all Illinois casinos. The Archdiocese of Chicago cancels all public Masses.",3/13/2020,https://www.chicagotribune.com/coronavirus/ct-coronavirus-chicago-illinois-school-closings-20200313-day6c3ez3vb7thpqhptuayuwh4-story.html
U.S.,Trump declares a national emergency. ,3/13/2020,
ILLINOIS,Chicago closes Cloud Gate in Millennium Park and indoor exhibits at Brookfield Zoo are closed. Illinois' total reaches 66 people.,3/14/2020,https://www.chicagotribune.com/coronavirus/ct-coronavirus-pandemic-chicago-illinois-news-20200312-kn45pek3cnegld3r7a7ts7azbe-story.html
U.S.,Trump's doctor says the president has tested negative for the coronavirus after he had come in contact with Brazilian officials who later tested positive.,3/14/2020,
WORLD,"Spain locks down its 46 million citizens, and France orders the closing of just about everything. ",3/14/2020,
ILLINOIS,"Pritzker orders all Illinois bars and restaurants to be closed to dine-in customers effective at the end of the business day March 16 through at least March 30. Restaurants can remain open for pickup and delivery. Lightfoot previously issued a directive that caps any Chicago establishment that serves liquor to 100 people or half their regular capacity, but the closure order trumps that.",3/15/2020,https://www.chicagotribune.com/coronavirus/ct-coronavirus-all-restaurants-to-close-20200315-vqniup2pa5e65bb33ics26rloq-story.html
ILLINOIS,"Retired nurse Patricia Freison, 61, of the Gresham neighborhood, becomes the first Illinois resident to die from COVID-19.
Navy Pier, all Illinois state parks, wildlife areas, historic sites, and the Illinois State Museum and its branches close.",3/16/2020,https://www.chicagotribune.com/coronavirus/ct-coronavirus-illinois-death-patricia-frieson-20200318-bmtixhauxzbw3bqpyhfw3ng6du-story.html
U.S.,"Older people and others at increased risk are urged to stay home and keep away from other people by the Trump administration. The Dow plunges 13%, its worst drop in three decades.",3/16/2020,
ILLINOIS,Illinois holds its primary despite concerns about the virus.Illinois officials report an outbreak of 24 cases at a nursing home in Willowbrook.,3/17/2020,https://www.chicagotribune.com/coronavirus/ct-illinois-coronavirus-nursing-home-chateau-20200318-bny4f6sx4jbsxcsechcqkbuoge-story.html
U.S.,"The Trump administration says individuals and businesses will be allowed to delay paying their 2019 tax bills for 90 days past the usual April 15 deadline.Nevada Gov. Steve Sisolak orders a monthlong closure of casinos and other nonessential businesses like bars, movie theaters and gyms.",3/17/2020,
U.S.,Trump says he will invoke the Defense Production Act to marshal the private sector in response to the pandemic.The Census Bureau announces it is suspending all field operations until early April.,3/18/2020,https://www.chicagotribune.com/coronavirus/ct-nw-defense-production-act-20200318-fhnrrrdxurg5fogqlceiwcuctm-story.html
ILLINOIS,Lightfoot announces CPS schools will stay closed through April. Oak Park begins a shelter-in-place order.,3/19/2020,https://www.chicagotribune.com/coronavirus/ct-illinois-coronavirus-shelter-in-place-20200319-ffztqjn34nggnfifb2uwznj3um-story.html
U.S.,California Gov. Gavin Newsom issues statewide order for people to stay at home.,3/19/2020,
WORLD,"Italy overtakes China as the country with most coronavirus-related deaths, registering 3,405 dead. ",3/19/2020,
ILLINOIS,Pritzker issues a stay-at-home order for the entire state except for an array of workplaces deemed essential. It also bans gatherings of more than 10 people and closes playgrounds.,3/20/2020,https://www.chicagotribune.com/coronavirus/ct-coronavirus-illinois-shelter-in-place-lockdown-order-20200320-teedakbfw5gvdgmnaxlel54hau-story.html
U.S.,"Stocks close out their worst week since 2008 as the Dow sinks 900 points. With stay-at-home orders in New York, California and Illinois, the movement of more than 70 million Americans is restricted.",3/20/2020,
ILLINOIS,Religious school in Elgin first refused to move to e-learning but later complies with Kane County authorities -- after holding church services the day before.,3/23/2020,https://www.chicagotribune.com/coronavirus/ct-coronavirus-northwest-baptist-academy-remains-open-20200323-nbui2qajojb57j44z2og3wxh5a-story.html
WORLD,"British Prime Minster Boris Johnson orders closure of most stores, bans gatherings for three weeks to stop coronavirus.",3/23/2020,https://www.chicagotribune.com/coronavirus/ct-nw-uk-coronavirus-stay-at-home-order-20200323-jhoopvwo3zcahjwu2bhq76q7si-story.html
U.S.,"The Federal Reserve takes several aggressive steps to support an economy ravaged by the effects of the virus. The amount of money involved is huge and the Fed's ambitions are vast. It wants to make loans available to companies and governments so they can pay bills and potentially avoid layoffs. The Fed also committed to buy as much government debt and as many mortgage-backed securities as it deems necessary. Meanwhile, Trump eyes loosening virus restrictions, says he hopes to have country ""opened up and just raring to go by Easter.""",3/24/2020,https://www.chicagotribune.com/coronavirus/ct-nw-coronavirus-trump-restrictions-reopen-20200324-mgnfnxy3xvgpzapcynflxouaga-story.html
WORLD,The International Olympic Committee postpones this summer's Tokyo Games for a year.,3/24/2020,https://www.chicagotribune.com/sports/olympics/ct-olympics-tokyo-coronavirus-20200324-hy6qwy7c5jcjlk3nnidqf3adg4-story.html
U.S.,"Senate leaders race to unravel last-minute snags and win passage of an unparalleled $2 trillion economic rescue package that steers aid to businesses, workers and health care systems engulfed by the pandemic.",3/25/2020,
WORLD,"British Royal Prince Charles tests positive for coronavirus, has mild symptoms. ",3/25/2020,
U.S.,"Trump signs the $2.2 trillion economic rescue package into law after swift and near-unanimous action by Congress to support businesses, rush resources to overburdened health care providers and help struggling families during the deepening pandemic. ",3/27/2020,
ILLINOIS,"The city and state announce McCormick Place will be converted into a field hospital to handle 3,000 coronavirus patients as the state braces for a possible surge in cases in the coming weeks, officials said.",3/28/2020,https://www.chicagotribune.com/coronavirus/ct-coronavirus-chicago-mccormick-place-hospital-20200328-px7xupa67je5fmbmr72prne6by-story.html
ILLINOIS,Pritzker extends the stay-at-home order through April 30 as part of the state's effort to slow the spread of the new coronavirus. The order also keeps schools closed.,3/30/2020,https://www.chicagotribune.com/coronavirus/ct-coronavirus-illinois-stay-at-home-extension-20200331-5szw3wbyt5ghzibeg2lcvwrwzi-story.html
U.S.,"Virginia, Maryland, Washington, D.C., Kansas and North Carolina issued orders requiring their residents to stay home. Other states had previously put strict measures in place. At least 265 million Americans are now being urged to stay home.",3/30/2020,
ILLINOIS,"Officials reported 986 known new COVID-19 cases and 42 deaths. It's the highest number of daily deaths reported since the outbreak began. There now have been 6,980 known infections and 141 deaths statewide.",4/1/2020,
U.S.,"10 million Americans are out of work. In the last week of March, 6.6 million people applied for unemployment benefits. Until March, the worst week for unemployment filings was 695,000 in 1982.",4/2/2020,https://www.chicagotribune.com/coronavirus/ct-coronavirus-unemployment-claims-problems-benefits-illinois-20200402-x7psgbntbrhatmtjgqmpotarvy-story.html
WORLD,"The pandemic has sickened more than 1 million people in 171 countries across six continents, killing at least 51,000",4/2/2020,
ILLINOIS,"Pritzker called wearing a mask in public ""a good idea"" to prevent the spread of coronavirus, after previously discouraging people from buying up masks needed by medical workers, and as the federal government has begun advising people to wear cloth masks in public.",4/3/2020,https://www.chicagotribune.com/coronavirus/ct-coronavirus-masks-in-public-should-i-wear-20200402-w6tkduxjxvca7kdprfcjrne5gm-story.html
U.S.,"The Trump administration reverses course, saying people should wear face masks in public to reduce spread of COVID-19.",4/3/2020,
U.S.,"Several companies have announced vaccine programs aimed at ending the pandemic, including Novavax, which said it would begin human trials in Australia in mid-May. Johnson & Johnson plans to start clinical trials in September while Moderna began a clinical trial for its vaccine in March. Inovio Pharmaceuticals injected its trial vaccine into the first volunteers in April.",4/8/2020,https://www.chicagotribune.com/lifestyles/ct-xpm-2012-07-24-sns-rt-us-novovax-study-influenzavaccinebre86n1ir-20120724-story.html
U.S.,"With more than 2,000 Americans dead on a single day, the U.S. sees its largest daily death toll yet. Officials say it is not yet the peak. With more than 18,000 fatalities and nearly 500,000 cases, the U.S. toll surpassed that of Spain. ",4/10/2020,
WORLD,"The coronavirus has now killed more than 101,000 people around the globe and infected at least 1.6 million. Moscow has seen a doubling in hospitalization of COVID-19 from the previous week, with two-thirds of the country's 12,000 reported cases in Moscow. The increase pushed Moscow's health care system to its limit, well before an expected peak.",4/10/2020,
WORLD,"Britain's prime minister, Boris Johnson, was released from the hospital after battling COVID-19. In a Twitter video post, he gives credit to the National Health Service for saving his life, calling it ""the beating heart of this country.""",4/12/2020,https://www.chicagotribune.com/coronavirus/ct-nw-boris-johnson-coronavirus-20200412-l5iyf2jqprgaxdxfsnhsmwh6je-story.html
U.S.,"Trump ordered his administration to halt funding for the WHO citing a number of mistakes as it sought to battle the virus. The president said the WHO was too trusting of the Chinese government, even though he had repeatedly praised China for its response to the virus. The move comes after receiving blame for his handling of the coronavirus in the United States. ",4/14/2020,https://www.chicagotribune.com/coronavirus/ct-nw-who-world-health-organization-coronavirus-warnings-20200414-icrj6ddfrbe47obaliwri3wuhy-story.html
WORLD,The International Monetary Fund reversed its earlier world economy forecast from a 3.3% growth to a decline of 3% this year. It warned that the global economy was headed for its worst downturn since the Great Depression.,4/14/2020,
U.S.,"Protests are held in multiple states, including Michigan, Kentucky, Oklahoma and North Carolina, over the restrictions put in place and additional protests were planned in other states. Michigan's rally was by far the largest, and demonstrators accused Gov. Gretchen Whitmer of going too far with her restrictions on everyday activities.",4/15/2020,https://www.chicagotribune.com/coronavirus/sns-nyt-stay-at-home-opponents-protest-capitols-20200416-pvfmtj5k3ja3djida6sy37xqlq-story.html
ILLINOIS,"The CDC updated its list of known symptoms associated with COVID-19, adding to the three that previously were listed: fever, cough and shortness of breath. Health care professionals in Illinois said the six additional symptoms that were added -- chills, repeated shaking with chills, muscle pain, headache, sore throat, and loss of taste or smell -- were not new to them. Chicago hospitals added such symptoms to employee coverage literature in March. Still, Dr. Emily Landon, hospital epidemiologist at the University of Chicago Medical Center, said, ""We want to spell it out so that people really understand that they need to get care.""",4/17/2020,
